planet name,is_berger,rocky planet name,rocky period,rocky per err,rocky rad,rocky rad err,rocky planet mass,rocky planet mass err,env planet name,env period,env per err,env rad,env rad err,env planet mass,env planet mass err,env mass flag,planet reference,star mass,star mass err,star age,star age err,star rad,star rad err,star temp,star temp err,star met,star met err,PEprob,CPMLprob,PRVprob,PE min mass,CPML min mass,PRV min mass
EPIC 249893012,1,EPIC 249893012 b,3.5951,0.0003,1.739404686,0.116321012,8.75,1.085,EPIC 249893012 d,35.747,0.005,3.528984508,0.207211449,10.18,2.44,0,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,1.13185994,0.094378475,6.139,2.401,1.533338687,0.083884232,5826.000783,178.1199373,0.159099153,0.154455031,0.992902,0.639589,0.988793,3.338210963,8.980655452,3.817467463
GJ 9827,1,GJ 9827 b,1.2089819,7.10E-06,1.627832575,0.048676451,5.14,0.47,GJ 9827 d,6.20147,6.30E-05,2.087176551,0.067320625,3.53,0.875,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.597527942,0.019290208,13.247,9.6115,0.619199714,0.013658277,4063.23258,26.93486174,-0.228200375,0.130523704,0.882866,0.076742,0.471724,1.918204869,4.972643522,3.574735448
GJ 9827,1,GJ 9827 c,3.648096,6.30E-05,1.28100205,0.039728007,1.3,,GJ 9827 d,6.20147,6.30E-05,2.087176551,0.067320625,3.53,0.875,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.597527942,0.019290208,13.247,9.6115,0.619199714,0.013658277,4063.23258,26.93486174,-0.228200375,0.130523704,0.873351,0.380636,0.919785,2.011254442,3.774996719,2.252441867
HD 108236,1,HD 108236 b,3.795963,2.95E-05,1.595494556,0.073252272,,,HD 108236 f,29.54115,0.000375,1.992639358,0.085492711,,,,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,0.913363109,0.049443389,3.278,3.7325,0.869174418,0.027230885,5681.132957,110.4590519,-0.175550643,0.128857339,0,0,0,1.354162066,3.670689206,3.035245184
HD 108236,1,HD 108236 b,3.795963,2.95E-05,1.595494556,0.073252272,,,HD 108236 c,6.203449,4.75E-05,2.045987113,0.085372372,,,,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,0.913363109,0.049443389,3.278,3.7325,0.869174418,0.027230885,5681.132957,110.4590519,-0.175550643,0.128857339,0,0,0,4.619169667,6.361212806,5.124268188
HD 108236,1,HD 108236 b,3.795963,2.95E-05,1.595494556,0.073252272,,,HD 108236 d,14.175685,9.15E-05,2.508334789,0.104515678,,,,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,0.913363109,0.049443389,3.278,3.7325,0.869174418,0.027230885,5681.132957,110.4590519,-0.175550643,0.128857339,0,0,0,2.812531264,6.10955453,3.808505458
HD 108236,1,HD 108236 b,3.795963,2.95E-05,1.595494556,0.073252272,,,HD 108236 e,19.590025,8.60E-05,3.045764511,0.113764975,,,,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,0.913363109,0.049443389,3.278,3.7325,0.869174418,0.027230885,5681.132957,110.4590519,-0.175550643,0.128857339,0,0,0,3.033850927,6.946525497,3.453664714
HD 136352,1,HD 136352 b,11.57797,0.000105,1.584701238,0.082025834,4.72,0.42,HD 136352 c,27.59221,0.00011,2.775974569,0.142631394,11.24,0.64,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,0.915888753,0.072026632,7.472,5.4415,1.007518278,0.048481582,5785.898817,154.4623015,-0.187445885,0.141186726,0.905977,0.8629,1,4.618862132,8.395329611,4.374350715
HD 15337,1,HD 15337 b,4.75615,0.00017,1.581015787,0.07937531,7.51,1.05,HD 15337 c,17.1784,0.0016,2.298353443,0.132778324,8.11,1.755,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,0.834703788,0.050154002,7.897,7.586,0.82309061,0.031784328,5160.526824,100.3557812,0.052525095,0.138592077,0.860186,0.764432,0.986997,2.803586299,5.806054293,3.777195728
GJ 143,1,HD 21749 c,7.78993,0.000475,0.923552468,0.047965952,3.7,,GJ 143 b,35.61253,0.00061,2.702703712,0.112842473,22.7,2.05,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,0.694395083,0.040168046,15.081,9.378,0.707947725,0.020557374,4560.193901,93.90327488,-0.028490195,0.127797668,0.994873,0.994919,1,0.695202403,1.73830804,0.663680671
