planet name,is_berger,rocky planet name,rocky period,rocky per err,rocky rad,rocky rad err,rocky planet mass,rocky planet mass err,env planet name,env period,env per err,env rad,env rad err,env planet mass,env planet mass err,env mass flag,planet reference,star mass,star mass err,star age,star age err,star rad,star rad err,star temp,star temp err,star met,star met err,PEprob,CPMLprob,PRVprob,PE min mass,CPML min mass,PRV min mass
K2-198,,K2-198 c,3.3596055,3.05E-06,1.423,0.0585,,,K2-198 d,7.4500177,3.90E-06,2.438,0.093,,,,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,0.7586,0.23272,5,2,0.5974,0.01385,5262,50,-0.16,0.08,0,0,0,2.318620095,4.949387902,2.969999216
K2-198,,K2-198 c,3.3596055,3.05E-06,1.423,0.0585,,,K2-198 b,17.0428683,5.30E-06,4.189,0.163,,,,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,0.7586,0.23272,5,2,0.5974,0.01385,5262,50,-0.16,0.08,0,0,0,2.560516777,7.311375154,2.279017062
K2-199,1,K2-199 b,3.2253993,2.40E-06,1.759595002,0.058442411,6.9,1.8,K2-199 c,7.3744897,3.70E-06,2.884655745,0.10283497,12.4,2.3,0,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>,0.694055584,0.038842133,10.772,9.0345,0.687631097,0.019511216,4496.436881,102.2232935,-0.043369517,0.13024205,0.885252,0.431258,0.988974,6.053406679,12.73054407,6.622515125
K2-201,,K2-201 b,1.05979,4.35E-05,1.4,0.106,,,K2-201 c,22.779878,0.001952,3.286,0.291,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,0.7892,0.23757,5,2,0.6175,0.01392,5507,50,0.13,0.08,0,0,0,0.691449207,2.981810764,1.249415691
K2-219,1,K2-219 b,3.901287,0.0006685,1.313763556,0.104229774,,,K2-219 d,11.137278,0.000797,2.511197711,0.149140599,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,1.072131445,0.07253545,4.83,3.583,1.159237601,0.055837586,5881.408659,165.3239687,0.106512478,0.13830368,0,0,0,1.801132046,3.692761452,2.194820993
K2-219,1,K2-219 c,6.66767,0.001426,1.402275056,0.108348372,,,K2-219 d,11.137278,0.000797,2.511197711,0.149140599,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,1.072131445,0.07253545,4.83,3.583,1.159237601,0.055837586,5881.408659,165.3239687,0.106512478,0.13830368,0,0,0,3.113014461,5.354953491,3.177361546
K2-224,,K2-224 b,4.47904,0.00124,1.56,0.15,,,K2-224 c,10.09489,0.001165,2.41,0.14,,,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,0.8721,0.02656,5,2,0.8169,0.01039,5599,41.5,-0.19,0.06,0,0,0,3.336547028,6.211262597,4.174169959
K2-229,,K2-229 b,0.584216,2.20E-05,1,0.02,,,K2-229 c,8.32727,0.00042,2.03,0.09,,,,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.8589,0.01499,5.4,4.45,0.7737,0.00871,5301,33.1,-0.09,0.02,0,0,0,0.224312448,0.720844839,0.809224768
K2-233,,K2-233 b,2.4675,4.00E-05,1.343,0.017,11.26,,K2-233 d,24.3645,0.00068,2.358,0.0395,21.14,,1,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,0.7831,0.01409,0.36,0.315,0.7113,0.00845,5033,34.5,-0.09,0.03,0,0,0,0.526361118,1.915917519,1.578424876
K2-233,,K2-233 c,7.06005,0.000255,1.281,0.0215,12.81,,K2-233 d,24.3645,0.00068,2.358,0.0395,21.14,,1,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,0.7831,0.01409,0.36,0.315,0.7113,0.00845,5033,34.5,-0.09,0.03,0,0,0,0.989142134,2.478600506,1.836523944
K2-266,1,K2-266 c,7.814,0.00175,0.703572485,0.090055414,,,K2-266 e,19.482,0.0012,2.725578627,0.089604341,14.3,5.7,0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,0.716946909,0.040507437,11.943,9.5025,0.701119129,0.01930717,4395.976456,58.20748041,0.27740743,0.112240926,0.845579,0.900689,0.991741,0.483118298,0.907483245,0.404154824
K2-266,1,K2-266 c,7.814,0.00175,0.703572485,0.090055414,,,K2-266 d,14.697,0.000345,2.926708587,0.094292268,8.9,4.75,0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,0.716946909,0.040507437,11.943,9.5025,0.701119129,0.01930717,4395.976456,58.20748041,0.27740743,0.112240926,0.836544,0.84708,0.961526,0.610754346,1.12331289,0.389328415
K2-268,1,K2-268 b,2.151676,5.50E-06,1.455530829,0.096093016,,,K2-268 f,26.27057,0.000107,2.154185626,0.126024561,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.795327043,0.03927043,5.398,6.1495,0.762525122,0.025212173,5069.817126,87.03417057,-0.039590556,0.137076448,0,0,0,0.792877352,2.860027235,1.97666761
K2-268,1,K2-268 b,2.151676,5.50E-06,1.455530829,0.096093016,,,K2-268 c,9.327527,2.05E-05,2.595003534,0.477697277,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.795327043,0.03927043,5.398,6.1495,0.762525122,0.025212173,5069.817126,87.03417057,-0.039590556,0.137076448,0,0,0,1.853921239,4.881848588,2.579822744
K2-268,1,K2-268 d,4.528598,1.55E-05,1.438896191,0.103121117,,,K2-268 f,26.27057,0.000107,2.154185626,0.126024561,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.795327043,0.03927043,5.398,6.1495,0.762525122,0.025212173,5069.817126,87.03417057,-0.039590556,0.137076448,0,0,0,1.307275736,3.696307495,2.331418129
K2-268,1,K2-268 d,4.528598,1.55E-05,1.438896191,0.103121117,,,K2-268 c,9.327527,2.05E-05,2.595003534,0.477697277,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.795327043,0.03927043,5.398,6.1495,0.762525122,0.025212173,5069.817126,87.03417057,-0.039590556,0.137076448,0,0,0,3.230615184,6.476752663,3.197215712
K2-268,1,K2-268 e,6.131243,3.25E-05,1.289184448,0.097179213,,,K2-268 f,26.27057,0.000107,2.154185626,0.126024561,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.795327043,0.03927043,5.398,6.1495,0.762525122,0.025212173,5069.817126,87.03417057,-0.039590556,0.137076448,0,0,0,1.142978307,2.974298378,1.729014482
K2-268,1,K2-268 e,6.131243,3.25E-05,1.289184448,0.097179213,,,K2-268 c,9.327527,2.05E-05,2.595003534,0.477697277,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.795327043,0.03927043,5.398,6.1495,0.762525122,0.025212173,5069.817126,87.03417057,-0.039590556,0.137076448,0,0,0,2.789927881,5.268895099,2.365491811
K2-270,1,K2-270 b,1.543069,0.000187,1.356123823,0.118897714,,,K2-270 c,4.400028,0.0001735,2.894166695,0.172576952,,,,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,0.778271373,0.039173752,8.72,8.192,0.758099646,0.022878387,4811.57002,68.40147904,0.176409158,0.132852527,0,0,0,2.318970416,5.491146917,2.324179943
K2-3,nan,K2-3 d,44.55603,0.000125,1.49378,0.05202,2.2,nan,K2-3 c,24.646729,4.30E-05,1.62126,0.05339,2.68,0.85,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,0.5389,0.10695,6.9,4.7,0.5592,0.01714,3803,36,-0.157,0.0775,0,0.000415,0.00348,20,20,20
K2-3,nan,K2-3 d,44.55603,0.000125,1.49378,0.05202,2.2,nan,K2-3 b,10.0546535,8.95E-06,2.12874,0.06934,5.11,0.645,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,0.5389,0.10695,6.9,4.7,0.5592,0.01714,3803,36,-0.157,0.0775,0,1.20E-05,0.030219,20,9.7112684,7.1428748
K2-316,1,K2-316 b,1.133,0.001,1.244165858,0.103884661,,,K2-316 c,5.26,0.007,1.711897365,0.138393867,,,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,0.337484929,0.015236729,14.433,9.787,0.355395313,0.015367637,3352.629109,27.53333671,-0.013408634,0.166302331,0,0,0,0.799316386,2.014902425,1.458602224
K2-32,1,K2-32 e,4.34934,0.00039,1.088508216,0.055072982,2.1,1.2,K2-32 c,20.66093,0.000795,2.81127856,0.120155941,8.1,2.4,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,0.734695059,0.058329724,15.697,10.189,0.77120215,0.030420239,4955.318718,158.1751375,-0.17752586,0.136174311,0.939741,0.928718,0.998346,1.0322752,2.677380667,1.035909661
K2-32,1,K2-32 e,4.34934,0.00039,1.088508216,0.055072982,2.1,1.2,K2-32 d,31.71701,0.000985,3.115791677,0.132233032,6.7,2.5,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,0.734695059,0.058329724,15.697,10.189,0.77120215,0.030420239,4955.318718,158.1751375,-0.17752586,0.136174311,0.92878,0.885024,0.988819,0.957128586,2.691229311,1
K2-331,1,K2-331 b,9.398977,0.001427,1.705692967,0.120615057,,,K2-331 c,22.996591,0.0018535,2.586050628,0.134638253,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,1.017270904,0.059900089,3.514,3.5435,1.008881033,0.035581578,5753.983269,116.1679423,0.089514448,0.137406035,0,0,0,4.928268532,9.305779512,5.758032133
K2-35,1,K2-35 b,2.399964,0.000201,1.476264898,0.070170869,,,K2-35 c,5.608352,0.0003365,2.157967519,0.10998908,,,,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,0.691906621,0.039205639,13.476,8.9745,0.694421648,0.018616788,4389.86982,72.96917146,0.10668853,0.130850328,0,0,0,2.492148267,5.078683195,3.390061245
K2-350,1,K2-350 b,4.163873,2.25E-05,1.392660174,0.102465975,,,K2-350 c,19.991944,0.0001585,2.465524309,0.168121372,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.995020243,0.049455818,2.626,3.018,0.945762706,0.029439546,5750.745781,107.4696978,-0.014189635,0.132645427,0,0,0,1.551549912,3.678928404,2.192926832
K2-352,1,K2-352 b,3.665912,0.000284,1.346060283,0.092099517,,,K2-352 c,8.234885,0.0004915,1.886523882,0.105366073,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.975618613,0.049582886,3.228,3.59,0.934891854,0.029687969,5627.534865,103.84588,0.064327131,0.135051547,0,0,0,1.841057885,3.284598308,2.493661813
K2-352,1,K2-352 b,3.665912,0.000284,1.346060283,0.092099517,,,K2-352 d,14.871387,0.000926,2.182249247,0.115001138,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,0.975618613,0.049582886,3.228,3.59,0.934891854,0.029687969,5627.534865,103.84588,0.064327131,0.135051547,0,0,0,1.329314294,3.069627258,2.103997252
K2-36,,K2-36 b,1.422614,3.80E-05,1.43,0.08,4.3,1.4,K2-36 c,5.340888,8.60E-05,3.2,0.3,7.9,2.8,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.6944,0.22328,1.4,0.45,0.5159,0.01622,4953,71,-0.09,0.05,0.984619,0.849179,0.970082,1.746956995,4.700183216,2.508498766
K2-368,1,K2-368 b,5.025598,0.0003145,1.367764189,0.084359197,,,K2-368 d,20.201085,0.002545,1.999611777,0.094475898,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.677835676,0.038762348,9.081,8.856,0.681497399,0.019872755,4560.984145,124.2057878,-0.139344498,0.128203349,0,0,0,1.355480684,3.335542639,2.167656494
K2-368,1,K2-368 c,9.660186,0.0011665,1.397498194,0.084772579,,,K2-368 d,20.201085,0.002545,1.999611777,0.094475898,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.677835676,0.038762348,9.081,8.856,0.681497399,0.019872755,4560.984145,124.2057878,-0.139344498,0.128203349,0,0,0,2.249663047,4.327115324,2.887852649
K2-37,1,K2-37 b,4.44117,0.00075,1.464689263,0.1382785,,,K2-37 d,14.09189,0.00135,2.500482248,0.313155808,,,,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,0.753500542,0.051503582,14.835,9.709,0.777092212,0.030372593,4945.564439,103.493105,-0.071279243,0.137312562,0,0,0,2.475336876,5.637032242,3.033854246
K2-37,1,K2-37 b,4.44117,0.00075,1.464689263,0.1382785,,,K2-37 c,6.42904,0.00036,2.504720354,0.23304119,,,,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,0.753500542,0.051503582,14.835,9.709,0.777092212,0.030372593,4945.564439,103.493105,-0.071279243,0.137312562,0,0,0,4.082604985,7.243278491,3.805844868
K2-374,1,K2-374 b,4.521953,0.0003645,1.59697711,0.110051443,,,K2-374 c,16.43445,0.00254,2.211962084,0.119157536,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.955964698,0.048780815,2.558,2.9635,0.909376259,0.027145085,5870.859586,112.3962342,-0.222573472,0.130145173,0,0,0,2.474924704,5.369280942,3.972240301
K2-38,1,K2-38 b,4.01593,0.0005,1.539523163,0.105673887,7.7,1.15,K2-38 c,10.56103,0.0009,2.316261441,0.221601763,7.4,1.35,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,1.07362263,0.060323057,2.72,2.8665,1.060216436,0.037781452,5913.987758,125.7105176,0.06029203,0.138309657,0.804495,0.714435,0.973066,2.796112859,5.451038538,3.850913374
K2-381,1,K2-381 b,7.9389334,0.000594,1.065909598,0.112760152,,,K2-381 d,26.803023,0.0029115,1.671871904,0.117342633,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.658242328,0.030256586,9.585,8.8955,0.669326953,0.016874363,4390.299647,102.8975687,-0.166357727,0.114894437,0,0,0,0.642532556,1.506961021,1.045734717
K2-381,1,K2-381 b,7.9389334,0.000594,1.065909598,0.112760152,,,K2-381 c,16.034656,0.001708,1.978503432,0.088420043,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.658242328,0.030256586,9.585,8.8955,0.669326953,0.016874363,4390.299647,102.8975687,-0.166357727,0.114894437,0,0,0,1.08554652,2.232865427,1.177292025
K2-384,1,K2-384 b,2.231527,0.0002595,1.042813419,0.278564772,,,K2-384 f,13.62749,0.000458,2.148048768,0.102438725,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.30861943,0.01478793,14.099,9.757,0.336634845,0.013535892,3317.7531,24.99865895,-0.00749515,0.125190455,0,0,0,0.784826492,1.832736273,0.850351047
K2-384,1,K2-384 c,4.194766,0.000249,1.152969766,0.102839455,,,K2-384 f,13.62749,0.000458,2.148048768,0.102438725,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.30861943,0.01478793,14.099,9.757,0.336634845,0.013535892,3317.7531,24.99865895,-0.00749515,0.125190455,0,0,0,1.188698974,2.757822981,1.273979585
K2-384,1,K2-384 d,6.679582,0.0006085,1.347579312,0.106596139,,,K2-384 f,13.62749,0.000458,2.148048768,0.102438725,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.30861943,0.01478793,14.099,9.757,0.336634845,0.013535892,3317.7531,24.99865895,-0.00749515,0.125190455,0,0,0,2.424524694,4.772734885,2.565679817
K2-384,1,K2-384 e,9.715043,0.000871,1.299844895,0.121926849,,,K2-384 f,13.62749,0.000458,2.148048768,0.102438725,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.30861943,0.01478793,14.099,9.757,0.336634845,0.013535892,3317.7531,24.99865895,-0.00749515,0.125190455,0,0,0,2.774624407,4.797153445,2.565714863
K2-396,1,K2-396 b,0.673862,1.75E-05,1.550635741,0.045333567,,,K2-396 c,25.76051,0.001943,3.071641499,0.216987489,,,,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,0.975421514,0.040457465,1.987,2.472,0.90548432,0.026472261,5730.880949,106.1675221,-0.063765322,0.136723141,0,0,0,0.710613163,2.840776855,1.632328889
K2-414,,K2-414 b,4.3696,0.0001,1.219,0.0865,,,K2-414 c,6.669,0.0002,1.929,0.068,,,,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,0.7123,0.27578,5,2,0.5359,0.03477,4343,138,-0.102,0.235,0,0,0,1.606076049,2.874137302,1.946507386
K2-58,1,K2-58 c,2.53726,0.00017,1.47582133,0.123632423,,,K2-58 b,7.05254,0.00032,2.445147765,0.208541841,,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,0.818319139,0.041523282,7.839,7.744,0.80060422,0.026560026,4996.068866,80.25295172,0.175938074,0.130097937,0,0,0,2.887377258,5.590583189,3.146405623
K2-58,1,K2-58 d,22.8827,0.004,1.571880706,0.149136721,,,K2-58 b,7.05254,0.00032,2.445147765,0.208541841,,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,0.818319139,0.041523282,7.839,7.744,0.80060422,0.026560026,4996.068866,80.25295172,0.175938074,0.130097937,0,0,0,20,14.22887013,8.64569677
K2-80,1,K2-80 c,5.605,0.0011,1.383434293,0.151154086,,,K2-80 b,19.0918,0.0064,1.886501308,0.190654742,,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,0.877118209,0.039207046,3.517,4.305,0.82358535,0.027848342,5484.495688,108.3383469,-0.139642112,0.133539836,0,0,0,1.605728489,3.301568293,2.433773005
K2-80,1,K2-80 c,5.605,0.0011,1.383434293,0.151154086,,,K2-80 d,28.867253,0.0048825,2.498266733,0.205880564,,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,0.877118209,0.039207046,3.517,4.305,0.82358535,0.027848342,5484.495688,108.3383469,-0.139642112,0.133539836,0,0,0,1.751403981,4.033930858,2.120700051
K2-84,1,K2-84 c,27.86,0.0052,1.790058843,0.169387266,,,K2-84 b,6.4215,0.00056,2.115524087,0.17522448,,,,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,0.853880952,0.049758996,5.614,6.1775,0.828844221,0.032972018,5380.726072,117.6874986,-0.097610034,0.135094131,0,0,0,20,20,20
K2-90,1,K2-90 c,2.900706,0.000325,1.330479887,0.11312029,,,K2-90 b,13.733314,9.10E-05,2.699318511,0.093694688,,,,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,0.638772605,0.021487546,7.314,8.9725,0.651240398,0.014740174,4187.090556,49.39500429,-0.07423613,0.13563761,0,0,0,1.660186883,4.394986827,1.858940682
Kepler-10,1,Kepler-10 b,0.8374907,2.00E-07,1.428150942,0.067181403,3.26,0.3,Kepler-10 c,45.294301,4.80E-05,2.287956098,0.102598401,11.4,1.3,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.993424692,0.069577393,5.134,4.3895,1.029589477,0.044099719,5763.698563,145.1506878,0.016788301,0.140115954,0.871988,0.871476,1,0.185758923,1.536708693,1.198453946
Kepler-100,1,Kepler-100 d,35.3331,6.80E-05,1.574392323,0.076659365,3,,Kepler-100 c,12.8159,9.00E-06,2.148339977,0.104605679,7.05,,1,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,1.130309441,0.072786628,5.635,2.39,1.453565182,0.070776123,5905.189259,167.4204049,0.100317789,0.136655075,0,0,0,20,10.38952553,8.065528281
Kepler-1001,1,Kepler-1001 c,9.18186,6.40E-05,1.511244,0.0256,,,Kepler-1001 b,14.30511983,4.34E-05,3.032345164,0.254347163,,,,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...12C/abstract,0.853557716,0.050877518,5.529,5.9735,0.830851665,0.033546694,5409.342201,114.8231026,-0.115596692,0.134294018,0,0,0,5.895736682,9.447306052,4.244723975
Kepler-102,1,Kepler-102 b,5.286965,1.20E-05,0.466938772,0.033168655,1.1,,Kepler-102 e,16.1456994,2.20E-06,2.202732935,0.146457266,4.7,1.8,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.737153174,0.041887083,10.592,9.62,0.730694891,0.024008262,4758.978621,86.16036235,0.003911746,0.13901906,0.008886,0.85014,0.919574,20,0.333582351,0.146944241
Kepler-102,1,Kepler-102 c,7.071392,2.20E-05,0.575552801,0.037696845,1.7,,Kepler-102 e,16.1456994,2.20E-06,2.202732935,0.146457266,4.7,1.8,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.737153174,0.041887083,10.592,9.62,0.730694891,0.024008262,4758.978621,86.16036235,0.003911746,0.13901906,0.814793,0.846641,0.993508,0.133573441,0.413537343,0.234663121
Kepler-102,1,Kepler-102 d,10.311767,4.10E-06,1.171407271,0.077501082,3,1.3,Kepler-102 e,16.1456994,2.20E-06,2.202732935,0.146457266,4.7,1.8,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.737153174,0.041887083,10.592,9.62,0.730694891,0.024008262,4758.978621,86.16036235,0.003911746,0.13901906,0.811757,0.655307,0.943577,1.82724489,3.42496721,1.75083185
Kepler-102,1,Kepler-102 f,27.453592,6.00E-05,0.873987614,0.043734848,4.3,,Kepler-102 e,16.1456994,2.20E-06,2.202732935,0.146457266,4.7,1.8,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.737153174,0.041887083,10.592,9.62,0.730694891,0.024008262,4758.978621,86.16036235,0.003911746,0.13901906,0.820871,0.782224,0.984325,1.577009797,2.267826553,0.804076918
Kepler-1047,1,Kepler-1047 c,3.18897601,2.04E-05,1.264392297,0.087894044,,,Kepler-1047 b,56.1886887,0.0002756,2.864167166,0.175155773,,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,1.151776421,0.086799796,5.009,2.131,1.537380231,0.083029939,5993.799411,193.81129,0.035310885,0.155755812,0,0,0,0.632853183,1.969080828,1
Kepler-105,1,Kepler-105 c,7.1262,0.0002,1.501506103,0.115196305,4.6,0.885,Kepler-105 b,5.4122,2.00E-05,3.114831082,0.401750122,,,,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>,1.035495176,0.050518361,2.536,2.687,1.019875749,0.03242459,5982.361337,119.4014405,-0.091185917,0.129549835,0,0,0,8.260931406,10.90678823,5.378644234
