planet name,is_berger,rocky planet name,rocky period,rocky per err,rocky rad,rocky rad err,rocky planet mass,rocky planet mass err,env planet name,env period,env per err,env rad,env rad err,env planet mass,env planet mass err,env mass flag,planet reference,star mass,star mass err,star age,star age err,star rad,star rad err,star temp,star temp err,star met,star met err,PEprob,CPMLprob,PRVprob,PE min mass,CPML min mass,PRV min mass,PE200prob,PE1000prob,CPML900prob,CPML1100prob,PRV10prob
HD 23472,1.0,HD 23472 d,3.97664,3.7e-05,0.758327115,0.062821158,0.55,0.205,HD 23472 b,17.667087,4.2e-05,2.019872325,0.089454134,8.32,0.785,0.0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.890604,0.898173,1.0,0.16361803,0.59738336,0.510318362,0.886438,0.244711,0.874365,0.88228,1.0
HD 23472,1.0,HD 23472 e,7.90754,0.00011,0.82832654,0.069067275,0.72,0.275,HD 23472 f,12.1621839,0.0001095,1.149546128,0.07362754,0.77,0.42,0.0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.017191,0.132484,0.65017,20.0,20.0,0.585634764,0.037833,0.886134,0.150538,0.135731,0.662213
HD 23472,1.0,HD 23472 e,7.90754,0.00011,0.82832654,0.069067275,0.72,0.275,HD 23472 c,29.79749,0.000135,1.889984501,0.101626426,3.41,0.845,0.0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.875811,0.874488,0.999644,0.325964293,0.840973006,0.537207009,0.885683,0.888285,0.858674,0.894204,0.999711
HD 23472,1.0,HD 23472 e,7.90754,0.00011,0.82832654,0.069067275,0.72,0.275,HD 23472 b,17.667087,4.2e-05,2.019872325,0.089454134,8.32,0.785,0.0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,0.716532807,0.040098638,11.672,9.704,0.713054567,0.022820319,4705.633184,105.8147873,-0.069482496,0.13356899,0.882119,0.881773,1.0,0.476377801,1.05850381,0.566714216,0.881206,0.020587,0.88812,0.88877,1.0
HD 260655,1.0,HD 260655 b,2.76953,3e-05,1.254891924,0.061161183,2.14,0.34,HD 260655 c,5.70588,7e-05,1.552843835,0.085555343,3.09,0.48,0.0,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,0.439646727,0.01422332,13.503,9.922,0.444885858,0.020187216,3729.573882,67.57119685,-0.501347602,0.11657526,0.759544,0.798293,0.965738,1.485525199,2.358213724,1.947819677,0.794899,0.643215,0.800266,0.809146,0.968981
HD 28109,1.0,HD 28109 b,22.89104,0.000355,2.153540638,0.108484262,18.496,8.3645,HD 28109 d,84.25999,0.00703,2.987458526,0.143436515,5.681,2.424,0.0,<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>,1.241670671,0.061298008,2.234,1.466,1.370124043,0.06098073,6362.796459,176.7211174,0.01776856,0.146383656,0.16318,0.000379,0.862874,8.46433899,18.70271877,1.0,0.210307,0.209455,0.000394,0.000451,0.884143
HD 28109,1.0,HD 28109 b,22.89104,0.000355,2.153540638,0.108484262,18.496,8.3645,HD 28109 c,56.00819,0.00198,3.933462151,0.179658368,7.943,3.6365,0.0,<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>,1.241670671,0.061298008,2.234,1.466,1.370124043,0.06098073,6362.796459,176.7211174,0.01776856,0.146383656,0.062867,0.000489,0.602242,15.12805958,28.69771478,1.0,0.107936,0.272168,0.000304,0.000587,0.97223
K2-136,1.0,K2-136 b,7.9752,0.00079,1.035581679,0.041064446,4.3,,K2-136 c,17.30713,0.00027,3.071973682,0.100727234,18.1,1.85,0.0,<a refstr=MAYO_ET_AL__2023 href=https://arxiv.org/abs/2304.02779 target=ref>Mayo et al. 2023</a>,0.713803597,0.039234517,9.725,8.645,0.69300216,0.019387565,4341.192848,55.75248666,0.281497799,0.109771963,0.880317,0.880634,1.0,1.685596273,3.530476209,1.055068161,0.886553,0.876711,0.887309,0.876818,1.0
K2-199,1.0,K2-199 b,3.2253993,2.4e-06,1.759595002,0.058442411,6.9,1.8,K2-199 c,7.3744897,3.7e-06,2.884655745,0.10283497,12.4,2.3,0.0,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>,0.694055584,0.038842133,10.772,9.0345,0.687631097,0.019511216,4496.436881,102.2232935,-0.043369517,0.13024205,0.885252,0.431258,0.988974,6.053406679,12.73054407,6.622515125,0.879275,0.881577,0.4107,0.443867,0.989869
K2-266,1.0,K2-266 c,7.814,0.00175,0.703572485,0.090055414,,,K2-266 e,19.482,0.0012,2.725578627,0.089604341,14.3,5.7,0.0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,0.716946909,0.040507437,11.943,9.5025,0.701119129,0.01930717,4395.976456,58.20748041,0.27740743,0.112240926,0.845579,0.900689,0.991741,0.483118298,0.907483245,0.404154824,0.8307,0.850728,0.909682,0.908936,0.992365
